Game,Team,Stat,Data
360407120,WSH,SB," Murphy (1, 2nd base off Morris/Realmuto)"
360407101,MIN,SB," D. Santana (1, 2nd base off Jiménez/Joseph)"
360407101,MIN,CS," Núñez (1, 2nd base by Bundy/Joseph); D. Santana (1, 2nd base by Jiménez/Joseph)"
360407129,CHC,SB," Heyward (1, 2nd base off Barrett/Castillo)"
360407103,TEX,CS," Andrus (2, 2nd base by Santiago)"
360407103,TEX,Picked Off, Andrus (1st base by Santiago)
360408106,NYY,CS," Ellsbury (1, 2nd base by Zimmermann/McCann)"
360408121,PHI,CS," C. Hernández (1, 2nd base by deGrom/d'Arnaud)"
360408104,CHW,Picked Off, García (1st base by Gomes)
360408127,SD,SB," Upton Jr. (1, 2nd base off Lyles/Hundley); Jay (1, 2nd base off Lyles/Hundley); Myers (1, 2nd base off Miller/Hundley)"
360408114,TOR,SB," Barney (1, 2nd base off N. Ramirez/Hanigan)"
360408117,PIT,SB," Marte (1, 2nd base off Díaz/Mesoraco)"
360408117,CIN,SB," Suárez (1, 2nd base off Liriano/Cervelli); Hamilton (1, 2nd base off Vogelsong/Cervelli); Phillips (1, 3rd base off Vogelsong/Cervelli)"
360408115,STL,Picked Off, Wong (1st base by J. Johnson)
360408115,ATL,SB," Stubbs (2, 2nd base off J. García/Molina)"
360408108,HOU,SB," Altuve (2, 2nd base off Anderson/Lucroy)"
360408108,HOU,CS," Gómez (1, 3rd base by Anderson)"
360408108,MIL,SB," Broxton (1, 2nd base off Feldman/Castro)"
360408108,MIL,CS," Villar (1, 2nd base by Feldman/Castro); Braun (1, 3rd base by Feldman/Castro)"
360408107,MIN,SB," Dozier (1, 2nd base off Davis/Pérez)"
360408107,KC,CS," Fuentes (1, 2nd base by E. Santana/Suzuki)"
360408129,ARI,SB," Segura (2, 2nd base off Hammel/Ross); Goldschmidt (1, 2nd base off Hammel/Ross)"
360408103,TEX,SB," DeShields 2 (2, 2nd base off Shoemaker/Pérez 2)"
360408103,TEX,CS," Andrus (3, 2nd base by Rasmus/Pérez)"
360408112,OAK,SB," Burns (1, 2nd base off Walker/Iannetta)"
360408126,LAD,SB," Puig (1, 2nd base off Cain/Brown)"
360409114,BOS,SB," Betts (1, 2nd base off Biagini/Thole)"
360409114,TOR,SB," Barney (2, 2nd base off Porcello/Swihart)"
360409106,NYY,SB," Gardner (1, 2nd base off Farmer/McCann)"
360409106,NYY,CS," Gardner (1, 2nd base by Pelfrey/McCann)"
360409117,CIN,CS," Schebler (1, 2nd base by Caminero/Cervelli)"
360409126,SF,SB," Posey (1, 2nd base off Hatcher/Barnes)"
360409108,HOU,SB," Altuve (3, 2nd base off Peralta/Lucroy); Springer (1, 2nd base off Peralta/Lucroy)"
360409115,STL,SB," Hazelbaker (1, 2nd base off Teherán/Pierzynski)"
360409121,PHI,CS," C. Hernández (2, 2nd base by Colón/d'Arnaud)"
360409121,NYM,SB," De Aza (1, 2nd base off Stumpf/Rupp)"
360409107,MIN,CS," Escobar (1, 2nd base by Kennedy/Pérez)"
360409127,SD,CS," Upton Jr. (1, 2nd base by De La Rosa)"
360409129,ARI,SB," Owings (1, 2nd base off Hendricks/Montero); Peralta (1, 2nd base off Hendricks/Montero)"
360409112,OAK,SB," Crisp 2 (2, 2nd base off Karns/Iannetta 2)"
360409112,SEA,CS," Aoki (1, 2nd base by Hill/Vogt)"
360410117,PIT,SB," Marte (2, 3rd base off Melville/Mesoraco); Polanco (1, 2nd base off Straily/Mesoraco)"
360410121,PHI,SB," C. Hernández (1, 2nd base off Harvey/Plawecki)"
360410121,PHI,CS," Ruiz (1, 2nd base by Harvey/Plawecki)"
360410101,TB,CS," Forsythe (1, 2nd base by Givens/Wieters)"
360410101,BAL,Picked Off, Machado (1st base by Odorizzi)
360410115,STL,SB," Hazelbaker (2, 2nd base off Pérez/Flowers); Grichuk (1, 2nd base off Withrow/Flowers)"
360410115,ATL,SB," Aybar (1, 2nd base off Broxton/Molina)"
360410120,MIA,CS," Gordon (2, 2nd base by Ross/Ramos)"
360410120,WSH,CS," Murphy (1, 2nd base by Koehler/Realmuto)"
400836044,TB,CS," Forsythe (1, 2nd base by Givens/Wieters)"
400836044,BAL,Picked Off," Machado (1st base, Odorizzi)"
360410108,HOU,SB," Altuve (4, 2nd base off Nelson/Maldonado)"
360410108,HOU,CS," Springer (1, 2nd base by Nelson/Maldonado); Altuve (1, 3rd base by Nelson/Maldonado); Correa (1, 2nd base by Nelson)"
360410107,MIN,SB," Núñez (1, 2nd base off Vólquez/Pérez)"
360410107,MIN,CS," Núñez (2, 2nd base by Davis/Pérez)"
360410103,TEX,SB," Desmond (1, 2nd base off Weaver/Soto)"
360410127,SD,SB," Spangenberg (1, 3rd base off Castro/Wolters)"
360410127,SD,CS," Ramírez (1, 2nd base by Bettis/Wolters)"
360410127,COL,SB," Blackmon (1, 2nd base off Shields/Bethancourt)"
360410129,CHC,SB," Kawasaki (1, 2nd base off Buschmann/Herrmann)"
360411106,PIT,CS," Polanco (2, 2nd base by Verlander/McCann); Joyce (1, 2nd base by Verlander/McCann)"
360411102,BOS,SB," Shaw (1, 2nd base off Gallardo/Joseph); Bradley Jr. (1, 2nd base off Givens/Joseph)"
360411124,STL,SB," Molina (1, 2nd base off Jungmann/Lucroy)"
360411121,MIA,SB," Gordon (1, 2nd base off Matz/d'Arnaud)"
360411120,ATL,CS," Smith (1, 2nd base by Scherzer/Ramos)"
360411120,WSH,SB," Taylor 2 (2, 2nd base off Norris/Pierzynski, 3rd base off Norris/Pierzynski); Harper 2 (3, 2nd base off Norris/Pierzynski, 2nd base off Ogando/Pierzynski)"
360411116,CIN,SB," Phillips (2, 3rd base off Lester/Ross)"
360411118,HOU,SB," Altuve 2 (6, 3rd base off Young/Pérez, 2nd base off Young/Pérez)"
360411111,LAA,SB," Pujols (1, 2nd base off Hendriks/Vogt)"
360411111,LAA,CS," Calhoun (1, 2nd base by Gray/Vogt)"
360411112,SEA,CS," Aoki (2, 2nd base by Lewis/Nicholas)"
360412106,PIT,CS," McCutchen (1, 2nd base by Sánchez/Saltalamacchia)"
360412106,DET,CS," Gose (1, 3rd base by Nicasio/Cervelli)"
360412119,ARI,CS," Segura (1, 2nd base by Maeda/Ellis)"
360412122,SD,CS," Upton Jr. (2, 2nd base by Morton/Ruiz)"
360412114,NYY,SB," Ellsbury (2, 2nd base off Cecil/Martin)"
360412114,TOR,SB," Donaldson (1, 2nd base off Betances/McCann)"
360412102,BAL,SB," Flaherty (1, 2nd base off N. Ramirez/Swihart)"
360412121,MIA,SB," Yelich (1, 2nd base off Syndergaard/d'Arnaud); Gordon (2, 2nd base off Henderson/d'Arnaud)"
360412121,MIA,CS," Yelich (1, 3rd base by Syndergaard/d'Arnaud)"
360412130,TB,SB," Kiermaier (2, 2nd base off Kluber/Gomes)"
360412130,TB,CS," Longoria (1, 2nd base by Kluber/Gomes)"
360412118,KC,SB," Gordon (1, 2nd base off Fiers/Kratz)"
360412118,HOU,Picked Off, Springer (1st base by Medlen)
360412127,SF,SB," Pagán (2, 2nd base off Gurka/Hundley)"
360412127,COL,SB," LeMahieu (1, 3rd base off Samardzija/Brown)"
360412111,OAK,SB," Burns 2 (3, 2nd base off Santiago/Soto, 3rd base off Santiago/Soto)"
360413111,LAA,SB," Trout (1, 2nd base off Surkamp/Vogt)"
360413111,OAK,SB," Crisp (3, 2nd base off Shoemaker/Pérez)"
360413112,SEA,SB," Martín (1, 2nd base off Griffin/Nicholas)"
360413102,BAL,CS," Machado (1, 3rd base by Layne/Hanigan)"
360413102,BOS,SB," Betts (2, 2nd base off Jiménez/Joseph); Bogaerts 2 (2, 3rd base off Jiménez/Joseph, 2nd base off Jiménez/Joseph)"
360413120,ATL,SB," Smith (1, 2nd base off Roark/Ramos)"
360413122,SD,SB," Amarista (1, 3rd base off Eickhoff/Rupp)"
360413122,PHI,SB," Burriss (1, 2nd base off Rea/Bethancourt)"
360413114,TOR,CS," Saunders (1, 2nd base by Pineda/Romine)"
360413130,CLE,SB," Lindor (1, 3rd base off Smyly/Casali)"
360413116,CIN,SB," Suárez (2, 2nd base off Lackey/Montero)"
360413116,CHC,SB," Fowler (1, 3rd base off Simon/Barnhart); Zobrist (1, 2nd base off Simon/Barnhart)"
360413124,STL,CS," Hazelbaker (1, 3rd base by Anderson/Lucroy)"
360413127,COL,CS," LeMahieu (1, 2nd base by Heston/Brown)"
360413119,ARI,CS," Drury (1, 3rd base by Wood/Grandal)"
360413119,ARI,Picked Off, Segura (1st base by Wood)
360413119,LAD,CS," Grandal (1, 2nd base by Clippard/Castillo)"
360414123,DET,SB," Kinsler (1, 2nd base off Watson/Stewart)"
360414123,PIT,SB," Harrison (1, 2nd base off Zimmermann/B. Wilson)"
360414122,PHI,SB," Herrera (1, 2nd base off Pomeranz/Norris)"
360414122,PHI,CS," C. Hernández (3, 3rd base by Pomeranz/Norris)"
360414109,CHW,SB," Frazier (1, 2nd base off May/Murphy)"
360414109,MIN,SB," Buxton (1, 2nd base off Latos/Navarro); Rosario (1, 2nd base off Latos/Navarro)"
360414130,CLE,SB," Davis 2 (3, 2nd base off Archer/Conger, 3rd base off Archer/Conger); Kipnis 2 (2, 2nd base off Geltz/Conger, 2nd base off Archer/Conger); Lindor (2, 2nd base off Archer/Conger)"
360414124,STL,CS," Hazelbaker (2, 2nd base by Peralta/Maldonado)"
360414127,COL,SB," Wolters 2 (2, 2nd base off Cain/Posey, 2nd base off Strickland/Brown)"
360414120,ATL,CS," Smith (2, 2nd base by Strasburg/Ramos)"
360414114,NYY,SB," Ellsbury (3, 2nd base off Stroman/Martin)"
360414116,CIN,Picked Off, Hamilton (1st base by Hammel)
360414116,CHC,CS," Bryant (1, 2nd base by Iglesias/Barnhart)"
360414118,HOU,CS," Rasmus (1, 2nd base by Kennedy/Pérez)"
360414119,ARI,SB," Brito (1, 2nd base off Stripling/Ellis)"
360415116,COL,SB," Parra (2, 3rd base off Richard/Montero); Wolters (3, 2nd base off Ramirez/Montero); LeMahieu (2, 2nd base off Ramirez/Montero)"
360415116,CHC,CS," Bryant (2, 2nd base by Bettis/Wolters)"
360415110,SEA,SB," Marte (1, 2nd base off Yates/McCann)"
360415110,NYY,SB," Headley (2, 2nd base off Karns/Iannetta)"
360415123,MIL,SB," Broxton (2, 3rd base off Locke/Cervelli); Villar (1, 2nd base off Locke/Cervelli); Hill (1, 2nd base off Locke/Cervelli)"
360415123,PIT,SB," Marte (3, 2nd base off Nelson/Lucroy); Harrison 2 (3, 2nd base off Nelson/Lucroy, 3rd base off Nelson/Lucroy)"
360415102,TOR,Picked Off, Tulowitzki (1st base by Vázquez)
360415102,BOS,SB," Ortiz (1, 2nd base off Biagini/Thole)"
360415105,CLE,SB," Davis (4, 2nd base off Colón/d'Arnaud)"
360415128,ATL,SB," Smith (2, 2nd base off Phelps/Realmuto)"
360415118,HOU,SB," Castro (1, 2nd base off Pelfrey/Saltalamacchia)"
360415111,KC,SB," Escobar (2, 2nd base off Hill/Vogt)"
360415125,ARI,SB," Lamb (1, 2nd base off Rodney/Norris)"
360415125,ARI,CS," Ahmed (1, 2nd base by Rodney)"
360415125,SD,SB," Upton Jr. (2, 3rd base off Greinke/Castillo); Ramírez (1, 2nd base off Ziegler/Castillo)"
360416110,SEA,SB," Sardiñas (1, 2nd base off Sabathia/Romine)"
360416110,NYY,SB," Castro 2 (2, 2nd base off Cishek/Iannetta, 2nd base off Hernández/Iannetta); Headley (3, 2nd base off Hernández/Iannetta)"
360416109,LAA,SB," R Ortega (1, 2nd base off Nolasco/Murphy)"
360416109,LAA,CS," Escobar (1, 2nd base by Nolasco/Murphy)"
360416109,MIN,SB," Núñez (2, 2nd base off Weaver/Soto); Dozier (2, 2nd base off Weaver/Soto)"
360416124,CIN,CS," Mesoraco (1, 2nd base by Oh/Molina)"
360416116,COL,SB," Parra (3, 2nd base off Arrieta/Ross)"
360416116,COL,CS," González (1, 2nd base by Arrieta/Ross)"
360416116,CHC,SB," Rizzo (1, 2nd base off D Hale/Garneau); Szczur (1, 2nd base off D Hale/Garneau)"
360416111,KC,SB," Escobar (3, 2nd base off Gray/Phegley)"
360416105,CLE,SB," Santana (1, 2nd base off Harvey/d'Arnaud); Davis (5, 2nd base off Harvey/d'Arnaud)"
360416130,TB,SB," Beckham (1, 2nd base off Petricka/Navarro)"
360416122,WSH,Picked Off, Harper (1st base by Nola)
360416123,PIT,SB," Marte (4, 2nd base off Jungmann/Lucroy)"
360416123,PIT,CS," Cervelli (2, 2nd base by Jungmann/Lucroy)"
360416118,DET,SB," Iglesias (1, 2nd base off Neshek/Castro)"
360416118,HOU,SB," Gómez (1, 2nd base off Verlander/Saltalamacchia)"
360416118,HOU,Picked Off, Altuve (1st base by Verlander)
360416128,MIA,SB," Gordon (3, 2nd base off Norris/Pierzynski)"
360416113,TEX,CS," DeShields (2, 2nd base by Bundy/Wieters)"
360416125,SD,SB," Upton Jr. (3, 2nd base off Miller/Castillo); Amarista (2, 2nd base off Miller/Castillo); Jankowski (1, 2nd base off Barrett/Castillo)"
360416125,SD,CS," Ramírez (2, 2nd base by Clippard/Castillo)"
360416119,SF,SB," Span (2, 2nd base off Kazmir/Grandal)"
360416119,SF,CS," Pagán (1, 2nd base by Howell/Grandal)"
360417110,NYY,SB," Gardner (2, 2nd base off Iwakuma/Clevenger); Ellsbury (4, 2nd base off Iwakuma/Clevenger)"
360417128,ATL,SB," Pierzynski (1, 2nd base off Cosart/Mathis)"
360417128,MIA,SB," Suzuki (1, 2nd base off Chacín/Pierzynski)"
360417130,TB,CS," Guyer (1, 2nd base by Albers/Navarro)"
360417130,TB,Picked Off, Morrison (1st base by Navarro)
360417102,BOS,SB," M Hernandez (1, 2nd base off Sanchez/Martin)"
360417123,MIL,CS," Villar (2, 3rd base by Nicasio/Cervelli)"
360417123,PIT,CS," McCutchen (2, 2nd base by Davies/Lucroy)"
360417109,MIN,SB," Buxton (2, 2nd base off Street/Pérez)"
360417124,CIN,CS," Phillips (1, 2nd base by Wacha/Fryer)"
360417124,CIN,Picked Off, Suárez (1st base by Wacha)
360417116,COL,SB," Story (1, 2nd base off Lester/Ross)"
360417116,COL,CS," Story (1, 2nd base by Lester/Ross); Parra (1, 2nd base by Lester/Ross)"
360417111,KC,SB," Gore (1, 2nd base off Madson/Vogt)"
360417125,ARI,SB," Weeks Jr. (1, 2nd base off Erlin/Bethancourt)"
360417125,SD,Picked Off, Myers (1st base by Corbin)
360417119,LAD,SB," Puig (2, 2nd base off Samardzija/Posey)"
360417119,LAD,CS," Seager (1, 2nd base by Samardzija/Posey)"
360418122,PHI,SB," Lough (1, 2nd base off Syndergaard/Plawecki); Galvis (1, 3rd base off Syndergaard/Plawecki); Herrera (2, 2nd base off Bastardo/Plawecki)"
360418117,COL,CS," Adames (1, 2nd base by Straily/Barnhart)"
360418128,WSH,CS," Taylor (1, 2nd base by Morris/Realmuto)"
360418128,MIA,SB," Gordon (4, 2nd base off Roark/Ramos)"
360418109,MIN,SB," Núñez (3, 2nd base off Boyer/Lucroy)"
360418126,ARI,SB," Segura (3, 2nd base off Gearrin/Posey)"
360418126,SF,CS," Span (1, 2nd base by Bradley/Castillo)"
360419105,SEA,SB," Martín (2, 3rd base off McAllister/Gomes)"
360419101,TOR,SB," Carrera (1, 2nd base off Givens/Wieters)"
360419110,OAK,CS," Canha (1, 2nd base by Barbato/McCann)"
360419110,OAK,Picked Off, Canha (1st base by McCann)
360419110,NYY,CS," Gregorius (1, 2nd base by Surkamp); Ellsbury (2, 2nd base by Rodriguez/Vogt)"
360419110,NYY,Picked Off, Gregorius (1st base by Surkamp)
360419102,TB,SB," Forsythe (1, 2nd base off Tazawa/Hanigan)"
360419117,CIN,SB," Bruce 2 (2, 2nd base off De La Rosa/Wolters, 3rd base off De La Rosa/Wolters); Holt (1, 2nd base off De La Rosa/Wolters); Hamilton (2, 3rd base off De La Rosa/Wolters); Suárez (3, 2nd base off De La Rosa/Wolters)"
360419117,CIN,CS," Phillips (2, 2nd base by Gurka)"
360419117,CIN,Picked Off, Phillips (1st base by Gurka)
360419113,HOU,SB," González (1, 3rd base off Holland/Nicholas); Rasmus (1, 2nd base off Tolleson/Nicholas)"
360419113,TEX,SB," Odor (2, 2nd base off Feldman/Castro)"
360419113,TEX,Picked Off, DeShields (1st base by Devenski)
360419124,STL,SB," Wong (1, 2nd base off Hammel/Montero)"
360419124,STL,CS," Adams (1, 3rd base by Hammel)"
360419125,PIT,SB," McCutchen (1, 2nd base off Rea/Norris); Marte (5, 2nd base off Rea/Norris); Polanco (2, 2nd base off Rea/Norris)"
360419125,SD,SB," Upton Jr. (4, 2nd base off Liriano/Cervelli)"
360419125,SD,CS," Amarista (1, 2nd base by Caminero/Cervelli)"
360419125,SD,Picked Off, Blash (2nd base by Scahill)
360419126,SF,SB," Panik (1, 2nd base off Ray/Castillo)"
360420124,STL,SB," Wong (2, 3rd base off Hendricks/Montero)"
360420104,LAA,CS," Trout (1, 2nd base by Sale/Avila)"
360420104,CHW,SB," Eaton (1, 2nd base off Richards/Soto); Frazier (2, 2nd base off Richards/Soto); Lawrie (1, 2nd base off Richards/Soto)"
360420104,CHW,CS," Lawrie (2, 2nd base by Richards/Soto)"
360420105,CLE,CS," Davis (2, 2nd base by Peralta)"
360420105,CLE,Picked Off, Davis (1st base by Peralta)
360420107,KC,SB," Hosmer (1, 2nd base off Zimmermann/Saltalamacchia); Dyson (1, 2nd base off Rodríguez/Saltalamacchia)"
360420107,KC,CS," Moustakas (1, 2nd base by Zimmermann)"
360420107,KC,Picked Off, Moustakas (1st base by Zimmermann)
360420101,TOR,SB," Goins (1, 2nd base off Jiménez/Joseph)"
360420101,BAL,CS," Reimold (1, 2nd base by Storen/Thole)"
360420110,OAK,Picked Off, Burns (1st base by Eovaldi)
360420102,TB,SB," Souza Jr. (1, 3rd base off Porcello/Vázquez)"
360420102,BOS,SB," Holt (1, 2nd base off Eveland/Conger); Betts (3, 2nd base off Webb/Conger)"
360420102,BOS,Picked Off, Bradley Jr. (1st base by Webb)
360420115,LAD,SB," Hernández (1, 2nd base off Cervenka/Pierzynski); Utley (1, 2nd base off Grilli/Flowers)"
360420115,LAD,CS," Turner (1, Home by Ogando/Flowers); Pederson (1, 2nd base by Teherán/Pierzynski)"
360420115,LAD,Picked Off, Turner (3rd base by Flowers)
360420115,ATL,SB," Castro (1, 2nd base off Stripling/Grandal)"
360420113,HOU,SB," Gómez (2, 3rd base off Hamels/Holaday); Altuve (7, 2nd base off Dyson/Holaday)"
360420113,HOU,CS," Springer (2, 2nd base by Hamels/Holaday)"
360420108,MIL,SB," Hill (2, 2nd base off Fien/Suzuki)"
360420108,MIL,CS," Santana (1, 2nd base by Milone)"
360420125,SD,CS," Myers (1, 2nd base by Locke/Stewart)"
360420126,ARI,Picked Off, Drury (1st base by Posey)
360421105,SEA,Picked Off, Martín (1st base by Pérez)
360421105,CLE,SB," Kipnis (3, 2nd base off Peralta/Clevenger)"
360421105,CLE,CS," Lindor (1, 2nd base by Zych/Clevenger)"
360421115,LAD,SB," Seager (1, 2nd base off Wisler/Flowers)"
360421102,BOS,SB," Shaw (2, Home off Odorizzi/Casali); Holt (2, 2nd base off Odorizzi/Casali)"
360421108,MIN,SB," Rosario (2, 2nd base off Torres/Lucroy)"
360421104,LAA,SB," Giavotella (1, 2nd base off Danks/Avila)"
360421104,CHW,CS," Rollins (1, 2nd base by Weaver/Pérez); Saladino (1, 2nd base by Smith)"
360421126,ARI,SB," Lamb (2, 2nd base off Cueto/Brown); Owings 2 (3, 2nd base off Gearrin/Brown, 3rd base off Gearrin/Brown); Herrmann (1, 2nd base off Gearrin/Brown)"
360421126,ARI,Picked Off, Owings (1st base by Cueto)
360421126,SF,SB," Span (3, 2nd base off Miller/Herrmann)"
360421101,BAL,SB," Rickard (1, 2nd base off Estrada/Martin)"
360421110,OAK,SB," Burns (4, 2nd base off Severino/Romine); Crisp (4, 3rd base off Yates/McCann); Semien (1, 2nd base off Yates/McCann)"
360421110,NYY,SB," Rodriguez (2, 2nd base off Hill/Vogt)"
360421117,CIN,Picked Off, Suárez (1st base by Ross)
360421107,KC,SB," Dyson (2, 3rd base off Pelfrey/Saltalamacchia); Escobar (4, 2nd base off Pelfrey/Saltalamacchia); Cain (2, 3rd base off Pelfrey/Saltalamacchia); Hosmer (2, 2nd base off Pelfrey/Saltalamacchia)"
360421113,TEX,Picked Off, Holaday (1st base by Castro)
360421125,PIT,SB," Harrison (4, 2nd base off Shields/Bethancourt); Mercer (1, 2nd base off Shields/Bethancourt)"
360421125,SD,SB," Upton Jr. (5, 2nd base off Cole/Cervelli)"
400836187,PIT,SB," Mercer (1, 2nd base off Shields/Bethancourt); Harrison (4, 2nd base off Shields/Bethancourt)"
400836187,SD,SB," Upton (5, 2nd base off Cole/Cervelli)"
360422110,TB,SB," Jennings (2, 2nd base off Sabathia/McCann)"
360422110,NYY,SB," Ellsbury (5, Home off Moore/Casali); Teixeira (1, 2nd base off Eveland/Conger)"
360422114,OAK,CS," Crisp (1, 2nd base by Chavez/Thole)"
360422117,CHC,SB," Heyward (2, 2nd base off Moscot/Mesoraco); Báez (1, 2nd base off Moscot/Mesoraco)"
360422117,CHC,CS," Zobrist (1, 2nd base by J Ramirez/Mesoraco); Rizzo (1, 2nd base by Moscot/Mesoraco)"
360422117,CIN,SB," Holt (2, 2nd base off Lester/Ross)"
360422104,TEX,CS," DeShields (3, 2nd base by Quintana)"
360422104,TEX,Picked Off, DeShields (1st base by Quintana)
360422108,PHI,SB," Rupp (1, 2nd base off Davies/Lucroy)"
360422108,PHI,CS," C. Hernández (4, 2nd base by Davies/Lucroy); Lough (1, 2nd base by Davies/Lucroy)"
360422118,HOU,CS," Springer (3, 3rd base by Wright/Hanigan)"
360422107,BAL,SB," Álvarez (1, 2nd base off Young/Pérez)"
360422107,KC,CS," Dyson (1, 2nd base by McFarland/Joseph)"
360422107,KC,Picked Off, Dyson (1st base by McFarland)
360422127,LAD,SB," Puig (3, 2nd base off Gray/Wolters)"
360422129,ARI,SB," Ahmed (1, 3rd base off Feliz/Cervelli); Owings (4, 2nd base off Feliz/Cervelli)"
360422103,SEA,SB," Marte (2, 2nd base off Salas/Pérez)"
360422103,SEA,CS," Lind (1, 2nd base by Salas/Pérez)"
360422103,SEA,Picked Off, Aoki (1st base by Tropeano)
360422125,SD,SB," Myers (2, 3rd base off Maness/Molina)"
360423110,TB,CS," Kiermaier (2, 2nd base by Tanaka/McCann)"
360423110,NYY,SB," Gardner (3, 2nd base off Romero/Conger)"
360423114,TOR,SB," Carrera (2, 2nd base off Bassitt/Phegley)"
360423106,CLE,SB," Ramírez (1, 2nd base off Sánchez/Saltalamacchia); Lindor (3, 2nd base off Sánchez/Saltalamacchia)"
360423106,CLE,CS," Davis (3, 2nd base by Ryan)"
360423106,CLE,Picked Off, Davis (1st base by Ryan)
360423104,TEX,SB," Desmond 2 (3, 2nd base off Rodon/Navarro, 2nd base off Robertson/Navarro); Odor (3, 2nd base off Robertson/Navarro)"
360423104,CHW,CS," Rollins (2, 2nd base by Lewis/Holaday)"
360423108,PHI,SB," Herrera 2 (4, 2nd base off Torres/Lucroy, 2nd base off Anderson/Lucroy)"
360423108,MIL,SB," Villar (2, 2nd base off Oberholtzer/Ruiz)"
360423108,MIL,CS," Santana (2, 2nd base by Oberholtzer/Ruiz)"
360423115,NYM,SB," Conforto (1, 2nd base off Chacín/Flowers)"
360423115,ATL,SB," Stubbs (3, 2nd base off Matz/d'Arnaud)"
360423117,CHC,SB," Fowler (2, 2nd base off Straily/Mesoraco); Heyward (3, 2nd base off Straily/Mesoraco)"
360423107,BAL,CS," Machado (2, 3rd base by Medlen/Pérez)"
360423129,PIT,CS," Polanco (3, 2nd base by Clippard/Herrmann)"
