,Most Valuable Player,Most Valuable Player,Most Valuable Player,Most Valuable Player,Most Valuable Player,Most Valuable Player
1984.0,Willie Hernandez,"W-L: 9-3, ERA: 1.92, SV: 32",Ryne Sandberg,"BA: .314, HR: 19, RBI: 84",560,864
1983.0,Cal Ripken,"BA: .318, HR: 27, RBI: 102",Dale Murphy,"BA: .302, HR: 36, RBI: 121",789,413
1982.0,Robin Yount,"BA: .331, HR: 29, RBI: 114",Dale Murphy,"BA: .281, HR: 36, RBI: 109",339,413
1981.0,Rollie Fingers,"W-L: 6-3, ERA: 1.04, SV: 28",Mike Schmidt,"BA: .316, HR: 31, RBI: 91",540,256
1980.0,George Brett,"BA: .390, HR: 24, RBI: 118",Mike Schmidt,"BA: .286, HR: 48, RBI: 121",41,256
1979.0,Don Baylor,"BA: .296, HR: 36, RBI: 139",Keith Hernandez,"BA: .344, HR: 11, RBI: 105",17,172
1979.0,,,Willie Stargell,"BA: .281, HR: 32, RBI: 82",,279
1978.0,Jim Rice,"BA: .315, HR: 46, RBI: 139",Dave Parker,"BA: .334, HR: 30, RBI: 117",242,395
1977.0,Rod Carew,"BA: .388, HR: 14, RBI: 100",George Foster,"BA: .320, HR: 52, RBI: 149",55,113
1976.0,Thurman Munson,"BA: .302, HR: 17, RBI: 105",Joe Morgan,"BA: .320, HR: 27, RBI: 111",25585,407
1975.0,Fred Lynn,"BA: .331, HR: 21, RBI: 105",Joe Morgan,"BA: .327, HR: 17, RBI: 94",192,407
1974.0,Jeff Burroughs,"BA: .301, HR: 25, RBI: 118",Steve Garvey,"BA: .312, HR: 21, RBI: 111",48,144
1973.0,Reggie Jackson,"BA: .293, HR: 32, RBI: 117",Pete Rose,"BA: .338, HR: 5, RBI: 64",128,397
1972.0,Dick Allen,"BA: .308, HR: 37, RBI: 113",Johnny Bench,"BA: .270, HR: 40, RBI: 125",17598,420
1971.0,Vida Blue,"W-L: 24-8, ERA: 1.82, SO: 301",Joe Torre,"BA: .363, HR: 24, RBI: 137",518,18555
1970.0,Boog Powell,"BA: .297, HR: 35, RBI: 114",Johnny Bench,"BA: .293, HR: 45, RBI: 148",26436,420
1969.0,Harmon Killebrew,"BA: .276, HR: 49, RBI: 140",Willie McCovey,"BA: .320, HR: 45, RBI: 126",23727,210
1968.0,Denny McLain,"W-L: 31-6, ERA: 1.96, SO: 280",Bob Gibson,"W-L: 22-9, ERA: 1.12, SO: 268",25029,22014
1967.0,Carl Yastrzemski,"BA: .326, HR: 44, RBI: 121",Orlando Cepeda,"BA: .325, HR: 25, RBI: 111",336,20039
1966.0,Frank Robinson,"BA: .316, HR: 49, RBI: 122",Roberto Clemente,"BA: .317, HR: 29, RBI: 119",26857,20219
1965.0,Zoilo Versalles,"BA: .273, HR: 19, RBI: 77",Willie Mays,"BA: .317, HR: 52, RBI: 112",27632,24790
1964.0,Brooks Robinson,"BA: .317, HR: 28, RBI: 118",Ken Boyer,"BA: .295, HR: 24, RBI: 119",26850,19438
1963.0,Elston Howard,"BA: .287, HR: 28, RBI: 85",Sandy Koufax,"W-L: 25-5, ERA: 1.88, SO: 306",23117,23910
1962.0,Mickey Mantle,"BA: .321, HR: 30, RBI: 89",Maury Wills,"BA: .299, HR: 6, RBI: 48",24622,28116
1961.0,Roger Maris,"BA: .269, HR: 61, RBI: 142",Frank Robinson,"BA: .323, HR: 37, RBI: 124",24644,26857
1960.0,Roger Maris,"BA: .283, HR: 39, RBI: 112",Dick Groat,"BA: .325, HR: 2, RBI: 50",24644,22348
1959.0,Nellie Fox,"BA: .306, HR: 2, RBI: 70",Ernie Banks,"BA: .304, HR: 45, RBI: 143",21718,18870
1958.0,Jackie Jensen,"BA: .286, HR: 35, RBI: 122",Ernie Banks,"BA: .313, HR: 47, RBI: 129",23341,18870
1957.0,Mickey Mantle,"BA: .365, HR: 34, RBI: 94",Hank Aaron,"BA: .322, HR: 44, RBI: 132",24622,17499
1956.0,Mickey Mantle,"BA: .353, HR: 52, RBI: 130",Don Newcombe,"W-L: 27-7, ERA: 3.06, SO: 139",24622,25741
1955.0,Yogi Berra,"BA: .272, HR: 27, RBI: 108",Roy Campanella,"BA: .318, HR: 32, RBI: 107",19152,19876
1954.0,Yogi Berra,"BA: .307, HR: 22, RBI: 125",Willie Mays,"BA: .345, HR: 41, RBI: 110",19152,24790
1953.0,Al Rosen,"BA: .336, HR: 43, RBI: 145",Roy Campanella,"BA: .312, HR: 41, RBI: 142",26947,19876
1952.0,Bobby Shantz,"W-L: 24-7, ERA: 2.48, SO: 152",Hank Sauer,"BA: .270, HR: 37, RBI: 121",27391,27119
1951.0,Yogi Berra,"BA: .294, HR: 27, RBI: 88",Roy Campanella,"BA: .325, HR: 33, RBI: 108",19152,19876
1950.0,Phil Rizzuto,"BA: .324, HR: 7, RBI: 66",Jim Konstanty,"W-L: 16-7, ERA: 2.66, SO: 56",26819,23887
1949.0,Ted Williams,"BA: .343, HR: 43, RBI: 159",Jackie Robinson,"BA: .342, HR: 16, RBI: 124",28096,26863
1948.0,Lou Boudreau,"BA: .355, HR: 18, RBI: 106",Stan Musial,"BA: .376, HR: 39, RBI: 131",19400,25643
1947.0,Joe DiMaggio,"BA: .315, HR: 20, RBI: 97",Bob Elliott,"BA: .317, HR: 22, RBI: 113",20972,21304
1946.0,Ted Williams,"BA: .342, HR: 38, RBI: 123",Stan Musial,"BA: .365, HR: 16, RBI: 103",28096,25643
1945.0,Hal Newhouser,"W-L: 25-9, ERA: 1.81, SO: 212",Phil Cavarretta,"BA: .355, HR: 6, RBI: 97",25745,20033
1944.0,Hal Newhouser,"W-L: 29-9, ERA: 2.22, SO: 187",Marty Marion,"BA: .267, HR: 6, RBI: 63",25745,24642
1943.0,Spud Chandler,"W-L: 20-4, ERA: 1.64, SO: 134",Stan Musial,"BA: .357, HR: 13, RBI: 81",20060,25643
1942.0,Joe Gordon,"BA: .322, HR: 18, RBI: 103",Mort Cooper,"W-L: 22-7, ERA: 1.78, SO: 152",22187,20430
1941.0,Joe DiMaggio,"BA: .357, HR: 30, RBI: 125",Dolph Camilli,"BA: .285, HR: 34, RBI: 120",20972,19868
1940.0,Hank Greenberg,"BA: .340, HR: 41, RBI: 150",Frank McCormick,"BA: .309, HR: 19, RBI: 127",22287,24873
1939.0,Joe DiMaggio,"BA: .381, HR: 30, RBI: 126",Bucky Walters,"W-L: 27-11, ERA: 2.29, SO: 137",20972,27760
1938.0,Jimmie Foxx,"BA: .349, HR: 50, RBI: 175",Ernie Lombardi,"BA: .342, HR: 19, RBI: 95",21723,24347
1937.0,Charlie Gehringer,"BA: .371, HR: 14, RBI: 96",Joe Medwick,"BA: .374, HR: 31, RBI: 154",21960,25123
1936.0,Lou Gehrig,"BA: .354, HR: 49, RBI: 152",Carl Hubbell,"W-L: 26-6, ERA: 2.31, SO: 123",21958,23143
1935.0,Hank Greenberg,"BA: .328, HR: 36, RBI: 170",Gabby Hartnett,"BA: .344, HR: 13, RBI: 91",22287,22643
1934.0,Mickey Cochrane,"BA: .320, HR: 2, RBI: 76",Dizzy Dean,"W-L: 30-7, ERA: 2.66, SO: 195",20253,20820
1933.0,Jimmie Foxx,"BA: .356, HR: 48, RBI: 163",Carl Hubbell,"W-L: 23-12, ERA: 1.66, SO: 156",21723,23143
1932.0,Jimmie Foxx,"BA: .364, HR: 58, RBI: 169",Chuck Klein,"BA: .348, HR: 38, RBI: 137",21723,23798
1931.0,Lefty Grove,"W-L: 31-4, ERA: 2.06, SO: 175",Frankie Frisch,"BA: .311, HR: 4, RBI: 82",22364,21788
1929.0,,,Rogers Hornsby,"BA: .380, HR: 39, RBI: 149",,23082
1928.0,Mickey Cochrane,"BA: .293, HR: 10, RBI: 57",Jim Bottomley,"BA: .325, HR: 31, RBI: 136",20253,19395
1927.0,Lou Gehrig,"BA: .373, HR: 47, RBI: 175",Paul Waner,"BA: .380, HR: 9, RBI: 131",21958,27767
1926.0,George Burns,"BA: .358, HR: 4, RBI: 114",Bob O'Farrell,"BA: .293, HR: 7, RBI: 68",19751,25877
1925.0,Roger Peckinpaugh,"BA: .294, HR: 4, RBI: 64",Rogers Hornsby,"BA: .403, HR: 39, RBI: 143",26167,23082
1924.0,Walter Johnson,"W-L: 23-7, ERA: 2.72, SO: 158",Dazzy Vance,"W-L: 28-6, ERA: 2.16, SO: 262",23414,18714
1923.0,Babe Ruth,"BA: .393, HR: 41, RBI: 131",,,27035,
1922.0,George Sisler,"BA: .420, HR: 8, RBI: 105",,,27563,
1914.0,Eddie Collins,"BA: .344, HR: 2, RBI: 0",Johnny Evers,"BA: .279, HR: 1, RBI: 0",20307,21410
1913.0,Walter Johnson,"W-L: 36-7, ERA: 1.14, SO: 243",Jake Daubert,"BA: .350, HR: 2, RBI: 0",23414,20757
1912.0,Tris Speaker,"BA: .383, HR: 10, RBI: 0",Larry Doyle,"BA: .330, HR: 10, RBI: 0",17920,21101
1911.0,Ty Cobb,"BA: .420, HR: 8, RBI: 0",Frank Schulte,"BA: .300, HR: 21, RBI: 0",20249,27256
